WRN 2026-08-30T05:46:21.122 ui.441692  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-30T05:46:21.122 ui.441692  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-30T05:46:21.122 ui.441692  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-30T05:46:56.331 ui.443189  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-30T05:46:56.331 ui.443189  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-30T05:46:56.331 ui.443189  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-30T05:46:56.331 ui.443189  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-30T05:46:56.331 ui.443189  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-30T05:48:34.385 ui.447590  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-30T05:48:34.385 ui.447590  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-30T05:48:34.385 ui.447590  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-30T05:48:34.385 ui.447590  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-30T05:48:34.385 ui.447590  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-30T05:48:50.883 ui.448408  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-30T05:48:50.884 ui.448408  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-30T05:48:50.884 ui.448408  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-30T05:48:50.884 ui.448408  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-30T05:48:50.884 ui.448408  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-31T05:20:51.404 ui.8642    tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-31T05:20:51.405 ui.8642    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-31T05:20:51.405 ui.8642    tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-31T05:20:51.405 ui.8642    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-31T05:20:51.405 ui.8642    tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-31T06:39:34.400 ui.3247    tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-31T06:39:34.400 ui.3247    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-31T06:39:34.400 ui.3247    tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-31T06:39:34.400 ui.3247    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-31T06:39:34.400 ui.3247    tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-31T06:40:12.388 ui.4449    tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-31T06:40:12.388 ui.4449    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-31T06:40:12.388 ui.4449    tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
